684670,https://techplay.jp/event/684670/,ひとり情シス、社内SE必見「セキュリティ対策 “Do it yourself”セミナー」- 政府機関で慣らしたコンサルの手法で解決 -,2018/07/23,15:00〜17:00,アイオス永田町2Fセミナールーム東京都千代田区永田町2-17-17アイオス永田町2F,0,20
684677,https://techplay.jp/event/684677/,2時間でマスターしちゃう AWS CloudFormation ハンズオン,2018/07/21,11:00〜13:00,渋谷(決まり次第告知)渋谷区渋谷,1,10
684678,https://techplay.jp/event/684678/,朝活Python 入門編 in 秋葉原,2018/07/14,07:00〜08:30,カフェ・ベローチェ 秋葉原駅前広場店東京都千代田区神田松永町１０４,"",3
684679,https://techplay.jp/event/684679/,UX道場 Meetup 01「受託のWebデザイナーでもできる実践的UXデザインことはじめ」,2018/07/25,19:00〜21:00,freee株式会社 〒141-0031 東京都品川区西五反田２丁目８−１,15,82
684680,https://techplay.jp/event/684680/,朝活Python 入門編 in 秋葉原,2018/07/15,07:00〜08:30,カフェ・ベローチェ 秋葉原駅前広場店東京都千代田区神田松永町１０４,"",3
684681,https://techplay.jp/event/684681/,【増枠しました！】ゲーム開発マネジメント勉強会 vol.1,2018/07/26,19:30〜22:00,株式会社アカツキ東京都品川区上大崎2-13-30 oak meguro 8階,50,50
684682,https://techplay.jp/event/684682/,朝活Python 簡単スクレイピング（後編） in 秋葉原,2018/07/26,07:00〜08:30,【秋葉原/浅草橋】秋葉原スクエア403号室東京都千代田区神田佐久間町3-21-5 東神田ビル403号室 ,1,12
684683,https://techplay.jp/event/684683/,朝活Python (Numpy Pandas) in 秋葉原,2018/07/17,07:00〜08:30,【秋葉原/浅草橋】秋葉原スクエア403号室東京都千代田区神田佐久間町3-21-5 東神田ビル403号室 ,"",10
684685,https://techplay.jp/event/684685/,Tama.rb #6 MeetUp,2018/07/28,18:00〜20:00,こけむさズ〒166-0002 東京都杉並区高円寺北３丁目１−９ 青田ビル 102,2,7
684686,https://techplay.jp/event/684686/,.NETラボ 勉強会 2018年7月,2018/07/28,13:30〜18:00,日本マイクロソフト 品川本社東京都港区港南 2-16-3,20,60
684687,https://techplay.jp/event/684687/,【eLV】初心者による初心者のためのHTML CSS JS の基礎,2018/07/18,19:00〜22:00,株式会社CRE-CO東京都千代田区平河町1-4-3(平河町伏見ビル2F),20,20
684688,https://techplay.jp/event/684688/,朝活Python 簡単スクレイピング（前編） in 秋葉原,2018/07/19,07:00〜08:30,【秋葉原/浅草橋】秋葉原スクエア403号室東京都千代田区神田佐久間町3-21-5 東神田ビル403号室 ,1,12
684689,https://techplay.jp/event/684689/,Azureで実現する RPA化（システム運用自動化編）,2018/07/20,13:30〜17:00,aiiima3 東京都渋谷区渋谷2-21-1 (渋谷ヒカリエ8階 8/（ハチ）),"",8
684690,https://techplay.jp/event/684690/,【京都】PHP・Webアプリケーション もくもく勉強会【毎週開催・水曜】,2018/08/01,18:30〜20:30,株式会社Nextat本社京都市下京区北町183番地 烏丸六条ビル 3F,"",6
684691,https://techplay.jp/event/684691/,Amazon Game Tech Night #6 ~GameSparksハンズオン~,2018/08/02,19:00〜21:30,アマゾン合同会社 目黒新オフィス東京都品川区上大崎3-1-1,8,100
684693,https://techplay.jp/event/684693/,明日からできるRPA,2018/08/07,15:30〜17:00,新宿モノリス東京都新宿区西新宿2-3-1,"",5
684694,https://techplay.jp/event/684694/,みんなのPython勉強会#39,2018/09/12,19:00〜21:00,クリーク・アンド・リバー社〒102-0083 東京都千代田区麹町２丁目１０−９,"",148
684695,https://techplay.jp/event/684695/,【初心者歓迎】ゆるふぁい#10 - Delphi のゆる～い集まり,2018/09/06,19:00〜21:00,合同会社ねこもり　秋葉原オフィス千代田区外神田2丁目15-8　長坂第三ビル 3階,"",15
684698,https://techplay.jp/event/684698/,Wacker#29 Google Colaboratoryで覚える初めての（？）機械学習（Deep Learning）,2018/07/16,13:00〜18:00,正和情報システム様和歌山県和歌山市小人町6番地,正和情報シテム様,""
684702,https://techplay.jp/event/684702/,2018年第1回Tableauユーザー会 【ユーザー同士のネットワーキングに！】,2018/08/01,15:00〜19:00,（株）NTTデータ  豊洲センタービル36F　〒135-6033 東京都江東区豊洲3-3-3 豊洲センタービル36F,49,200
684707,https://techplay.jp/event/684707/,【Progate利用者向け】Rails5+Vue.jsでサービスを開発,2018/07/21,13:00〜20:00,いいオフィス東京都台東区東上野２丁目１８−７ 共同ビル上野 3階,"",5
684709,https://techplay.jp/event/684709/,第1回　レッドオーシャン時代を生き抜くためのソーシャルゲーム戦略会議,2018/07/25,19:30〜21:30,G2 Studios株式会社東京都渋谷区道玄坂2-11-1（G-SQUARE 10階）,15,30
684710,https://techplay.jp/event/684710/,AWSからGCPにビッグデータ処理を移行する理由とGCP・Dataflowの具体的な使い方,2018/07/19,19:30〜21:30,株式会社ビズリーチ東京都渋谷区渋谷2-15-1 渋谷クロスタワー 12F,18,18
